Institution,State,Cost,MedianDebt,MedianEarnings,UndergradSize
Rasmussen University-Florida,FL,24746.0,13000,39080.0,3034.0
University of West Florida,FL,18504.0,13000,49137.0,9042.0
Abraham Baldwin Agricultural College,GA,13103.0,8750,34996.0,3218.0
Agnes Scott College,GA,60585.0,17750,56274.0,898.0
Interactive College of Technology-Chamblee,GA,20095.0,8661,27065.0,529.0
Interactive College of Technology-Morrow,GA,20314.0,8661,27065.0,113.0
Albany Technical College,GA,13811.0,5681,30541.0,2214.0
Albany State University,GA,20574.0,12000,40674.0,5829.0
Andrew College,GA,35996.0,9500,38475.0,287.0
Atlanta Technical College,GA,9678.0,6334,30350.0,3044.0
Point University,GA,34418.0,14502,38740.0,2617.0
Atlanta Metropolitan State College,GA,11528.0,6606,33252.0,1348.0
Clark Atlanta University,GA,40924.0,19500,42712.0,3482.0
Augusta Technical College,GA,16410.0,5500,33523.0,3531.0
Berry College,GA,55714.0,18900,53800.0,2213.0
Beulah Heights University,GA,9992.0,38980,35236.0,158.0
Brenau University,GA,45931.0,18425,54003.0,981.0
Brewton-Parker College,GA,35557.0,8250,42009.0,684.0
College of Coastal Georgia,GA,18975.0,8250,39318.0,2794.0
West Georgia Technical College,GA,10012.0,5642,35479.0,4811.0
Clayton  State University,GA,17940.0,16750,49179.0,4390.0
Columbus Technical College,GA,12783.0,7245,34238.0,2668.0
Columbus State University,GA,19953.0,15000,44544.0,5537.0
Georgia Northwestern Technical College,GA,11575.0,3971,35759.0,4080.0
Covenant College,GA,53368.0,19000,50412.0,858.0
Dalton State College,GA,11292.0,7361,40251.0,4419.0
South University-Savannah,GA,31163.0,13000,34421.0,246.0
East Georgia State College,GA,15472.0,6374,37174.0,1368.0
Emmanuel University,GA,35188.0,12000,38208.0,719.0
Emory University,GA,78814.0,16750,80137.0,7275.0
Georgia Highlands College,GA,12829.0,6750,43184.0,4441.0
Fort Valley State University,GA,20342.0,19000,36666.0,2541.0
Georgia Institute of Technology-Main Campus,GA,27797.0,20000,102772.0,18260.0
Georgia Southwestern State University,GA,19234.0,11000,48757.0,2291.0
Georgia College & State University,GA,27781.0,16018,58140.0,5599.0
Georgia Southern University,GA,24563.0,15250,53236.0,21029.0
Georgia State University,GA,26535.0,11750,47384.0,27109.0
University of Georgia,GA,27436.0,16666,68726.0,31310.0
Gordon State College,GA,14944.0,8750,37871.0,2605.0
Southern Crescent Technical College,GA,13806.0,6334,36104.0,4035.0
Gupton Jones College of Funeral Service,GA,25265.0,9500,42636.0,451.0
Gwinnett College-Lilburn,GA,31673.0,9626,31422.0,132.0
Gwinnett Technical College,GA,19078.0,7056,45025.0,7395.0
LaGrange College,GA,47370.0,15750,51745.0,566.0
Lanier Technical College,GA,13193.0,PS,37623.0,4147.0
Life University,GA,41192.0,9500,47397.0,869.0
Chattahoochee Technical College,GA,12295.0,PS,37138.0,7555.0
Herzing University-Atlanta,GA,27195.0,11756,36909.0,499.0
Mercer University,GA,56494.0,17655,58354.0,4620.0
Morehouse College,GA,47347.0,18500,52889.0,2736.0
North Georgia Technical College,GA,12572.0,5657,32932.0,1966.0
Oglethorpe University,GA,59320.0,14750,55232.0,1429.0
Paine College,GA,27310.0,11000,33338.0,338.0
Piedmont University,GA,45359.0,18108,49130.0,1235.0
Miami Ad School-Atlanta,GA,29647.0,16849,106192.0,74.0
Reinhardt University,GA,45689.0,13156,46541.0,1012.0
Savannah Technical College,GA,14545.0,3466,33018.0,2967.0
Savannah College of Art and Design,GA,59670.0,15500,45954.0,14423.0
Savannah State University,GA,17185.0,16500,37981.0,2727.0
Shorter University,GA,34985.0,12500,44604.0,1091.0
South Georgia Technical College,GA,13115.0,PS,30364.0,1302.0
Spelman College,GA,49349.0,21750,59993.0,3633.0
Thomas University,GA,26189.0,15000,49716.0,813.0
Toccoa Falls College,GA,35666.0,11067,36630.0,820.0
Truett McConnell University,GA,37692.0,12000,46700.0,768.0
Wiregrass Georgia Technical College,GA,10925.0,2438,30864.0,2762.0
Valdosta State University,GA,20202.0,13750,49361.0,6858.0
Wesleyan College,GA,40591.0,15000,44317.0,466.0
University of West Georgia,GA,23504.0,15000,49587.0,7485.0
Young Harris College,GA,45389.0,12000,47195.0,810.0
Chaminade University of Honolulu,HI,43637.0,17932,52343.0,1648.0
University of Hawaii at Hilo,HI,20914.0,12500,47856.0,2260.0
University of Hawaii at Manoa,HI,23832.0,13099,57624.0,14306.0
Hawaii Pacific University,HI,49980.0,12000,59593.0,2502.0
Honolulu Community College,HI,12369.0,5995,45105.0,1897.0
Kapiolani Community College,HI,11562.0,6352,44599.0,3955.0
Kauai Community College,HI,13608.0,7000,36868.0,726.0
Leeward Community College,HI,13842.0,5500,39899.0,3382.0
University of Hawaii Maui College,HI,16225.0,9500,34453.0,1635.0
University of Hawaii-West Oahu,HI,18190.0,11848,52075.0,2510.0
Windward Community College,HI,14492.0,7175,38439.0,1109.0
Boise Bible College,ID,22045.0,12749,33140.0,103.0
Boise State University,ID,25387.0,14000,51658.0,17081.0
College of Eastern Idaho,ID,13392.0,7953,42057.0,1396.0
Idaho State University,ID,21084.0,12500,45608.0,7260.0
University of Idaho,ID,22669.0,15784,54670.0,7363.0
The College of Idaho,ID,48451.0,17000,48473.0,1049.0
Lewis-Clark State College,ID,18646.0,10989,46001.0,2277.0
North Idaho College,ID,16699.0,5500,40081.0,2488.0
Northwest Nazarene University,ID,50275.0,16826,51719.0,1138.0
Brigham Young University-Idaho,ID,13357.0,8750,53406.0,42090.0
College of Southern Idaho,ID,12115.0,5500,40916.0,3476.0
American Academy of Art College,IL,45145.0,27000,34324.0,90.0
School of the Art Institute of Chicago,IL,74138.0,19000,40151.0,2762.0
Augustana College,IL,60798.0,26000,62971.0,2418.0
Aurora University,IL,39232.0,15500,58709.0,4021.0
Southwestern Illinois College,IL,12596.0,4000,36884.0,5280.0
Black Hawk College,IL,11809.0,5302,37253.0,2266.0
Blackburn College,IL,36962.0,14770,46802.0,341.0
Bradley University,IL,52730.0,23250,66852.0,3865.0
Carl Sandburg College,IL,10795.0,3500,35274.0,1124.0
Chicago State University,IL,30454.0,21500,42778.0,1414.0
University of Chicago,IL,86856.0,13368,91885.0,7540.0
City Colleges of Chicago-Kennedy-King College,IL,11382.0,4994,28467.0,1564.0
City Colleges of Chicago-Malcolm X College,IL,10279.0,6100,32427.0,5847.0
City Colleges of Chicago-Olive-Harvey College,IL,12633.0,5250,31114.0,1425.0
City Colleges of Chicago-Harry S Truman College,IL,10722.0,5524,36484.0,2248.0
City Colleges of Chicago-Richard J Daley College,IL,9543.0,3500,37962.0,2540.0
City Colleges of Chicago-Harold Washington College,IL,9996.0,4537,36531.0,4146.0
City Colleges of Chicago-Wilbur Wright College,IL,9395.0,4370,41625.0,4186.0
Columbia College Chicago,IL,49799.0,16500,42195.0,6294.0
Concordia University-Chicago,IL,44252.0,14000,54089.0,1337.0
Danville Area Community College,IL,10398.0,3975,34867.0,1360.0
DePaul University,IL,59467.0,19383,68751.0,14283.0
College of DuPage,IL,13314.0,5500,46909.0,15185.0
East-West University,IL,30062.0,7334,29963.0,528.0
Eastern Illinois University,IL,26164.0,15722,51989.0,4398.0
Elgin Community College,IL,9837.0,4790,45516.0,6463.0
Elmhurst University,IL,51829.0,15000,61462.0,2954.0
Eureka College,IL,38518.0,15000,51641.0,522.0
Fox College,IL,21635.0,13625,41539.0,239.0
Governors State University,IL,23076.0,14000,58169.0,2518.0
Graham Hospital School of Nursing,IL,27408.0,5250,63586.0,36.0
Greenville University,IL,43713.0,15000,46827.0,873.0
Hebrew Theological College,IL,21742.0,9924,33291.0,81.0
Highland Community College,IL,12397.0,5500,37928.0,926.0
University of Illinois Chicago,IL,26998.0,13657,68740.0,21814.0
Benedictine University,IL,46548.0,17500,63446.0,1817.0
University of Illinois Urbana-Champaign,IL,32134.0,16500,81054.0,34623.0
Illinois Wesleyan University,IL,68399.0,23221,70871.0,1570.0
Illinois Central College,IL,17251.0,5500,37366.0,4909.0
Illinois College,IL,47337.0,14746,52575.0,925.0
Olney Central College,IL,17518.0,5500,37533.0,549.0
Illinois Institute of Technology,IL,67720.0,20687,82592.0,2812.0
Illinois State University,IL,32458.0,15750,62117.0,18414.0
Illinois Valley Community College,IL,11563.0,6500,40810.0,1851.0
John A Logan College,IL,12682.0,3500,34096.0,2018.0
John Wood Community College,IL,13346.0,5500,38631.0,1387.0
Joliet Junior College,IL,9757.0,5500,42889.0,8843.0
Judson University,IL,43951.0,14000,56313.0,780.0
Kankakee Community College,IL,12209.0,5500,38767.0,1904.0
Kaskaskia College,IL,12038.0,3500,38801.0,1842.0
Kishwaukee College,IL,14504.0,6542,39657.0,1794.0
Knox College,IL,65796.0,23852,54820.0,997.0
College of Lake County,IL,10969.0,5376,43424.0,9282.0
Lake Forest College,IL,68191.0,21500,61825.0,1782.0
Lake Land College,IL,10023.0,3970,38877.0,2492.0
Lewis and Clark Community College,IL,9167.0,5500,37724.0,2252.0
Lewis University,IL,45843.0,18750,66099.0,3665.0
Lincoln Christian University,IL,28671.0,15000,43038.0,44.0
Lincoln Land Community College,IL,11600.0,6500,38479.0,3917.0
Loyola University Chicago,IL,64167.0,20500,71530.0,11576.0
Generations College,IL,25660.0,19000,34706.0,317.0
McHenry County College,IL,12971.0,5297,45143.0,4335.0
McKendree University,IL,47121.0,16240,58572.0,1600.0
Methodist College,IL,26280.0,27000,69800.0,374.0
Millikin University,IL,41297.0,19000,51262.0,1458.0
Monmouth College,IL,55529.0,20000,51110.0,725.0
Moody Bible Institute,IL,34510.0,12000,45399.0,1586.0
Moraine Valley Community College,IL,11921.0,5500,43892.0,7417.0
Morrison Institute of Technology,IL,30350.0,12000,63571.0,54.0
Morton College,IL,12170.0,5500,42406.0,2593.0
National Louis University,IL,25350.0,12500,45799.0,4100.0
North Central College,IL,54803.0,18750,60123.0,2360.0
North Park University,IL,42040.0,19875,59572.0,1844.0
Northern Illinois University,IL,27214.0,16250,57808.0,11277.0
Northwestern University,IL,87804.0,14000,89363.0,8960.0
Northeastern Illinois University,IL,27208.0,11969,52234.0,3869.0
Oakton College,IL,11344.0,3500,47852.0,6229.0
Olivet Nazarene University,IL,50557.0,19313,53213.0,2485.0
Parkland College,IL,14011.0,5250,38320.0,3293.0
Prairie State College,IL,13813.0,8000,36696.0,2448.0
Quincy University,IL,45102.0,13000,50369.0,1038.0
Rend Lake College,IL,14638.0,4475,35775.0,1196.0
Richland Community College,IL,11407.0,4500,38793.0,1412.0
Rock Valley College,IL,14351.0,5500,39158.0,4362.0
Rockford University,IL,47033.0,15000,54794.0,956.0
Roosevelt University,IL,48426.0,14667,48712.0,2583.0
Dominican University,IL,44414.0,18750,60327.0,2271.0
University of St Francis,IL,45375.0,16500,63926.0,1292.0
Saint Xavier University,IL,42237.0,16699,58656.0,3030.0
University of Illinois Springfield,IL,23643.0,14000,57103.0,2292.0
Sauk Valley Community College,IL,14253.0,5500,40458.0,1164.0
Shawnee Community College,IL,13113.0,PS,32999.0,675.0
St. Augustine College,IL,23056.0,4136,35723.0,749.0
Southeastern Illinois College,IL,12139.0,PS,33763.0,659.0
Spoon River College,IL,11871.0,6750,38386.0,735.0
Southern Illinois University-Carbondale,IL,29268.0,17750,53390.0,8116.0
Southern Illinois University-Edwardsville,IL,25302.0,15500,56346.0,8836.0
Taylor Business Institute,IL,23713.0,4554,25559.0,70.0
South Suburban College,IL,10713.0,PS,33680.0,2012.0
Trinity Christian College,IL,47066.0,21358,55700.0,796.0
Trinity International University-Illinois,IL,47751.0,19500,46989.0,140.0
Triton College,IL,11608.0,5500,41728.0,6229.0
VanderCook College of Music,IL,38850.0,27000,47863.0,70.0
Waubonsee Community College,IL,14661.0,4500,44788.0,5499.0
Western Illinois University,IL,27828.0,19762,54163.0,4939.0
Wheaton College,IL,56447.0,20000,63756.0,2087.0
William Rainey Harper College,IL,12833.0,6230,48071.0,8815.0
Anderson University,IN,49098.0,19500,48899.0,1070.0
Ball State University,IN,25134.0,16904,51833.0,13770.0
Bethel University,IN,42276.0,19293,48860.0,1069.0
Butler University,IN,64503.0,22238,77235.0,4383.0
Calumet College of Saint Joseph,IN,31758.0,9500,46945.0,560.0
College of Court Reporting Inc,IN,43083.0,13779,43927.0,183.0
DePauw University,IN,72560.0,24733,70527.0,1804.0
Earlham College,IN,64237.0,19500,50797.0,612.0
University of Evansville,IN,56068.0,19000,53770.0,1477.0
Franklin College,IN,50708.0,18998,55376.0,872.0
Goshen College,IN,47206.0,13750,51943.0,761.0
Grace College and Theological Seminary,IN,40539.0,16750,45411.0,1511.0
Hanover College,IN,55798.0,19500,53957.0,958.0
Holy Cross College,IN,48808.0,11904,50416.0,533.0
Huntington University,IN,40088.0,18127,46672.0,1016.0
Ivy Tech Community College,IN,13891.0,5835,37186.0,54926.0
Purdue University Fort Wayne,IN,19714.0,10556,45872.0,5450.0
Indiana University-Indianapolis,IN,22216.0,13337,55198.0,16582.0
University of Indianapolis,IN,48674.0,18714,53610.0,3147.0
Indiana Institute of Technology,IN,43490.0,12564,47327.0,1361.0
University of Southern Indiana,IN,20749.0,13236,47605.0,5344.0
Indiana State University,IN,23475.0,14574,48387.0,6620.0
Indiana University-Kokomo,IN,13351.0,10000,49917.0,2308.0
Indiana University-South Bend,IN,15984.0,12000,44947.0,3807.0
Indiana University-Bloomington,IN,27361.0,15519,63742.0,36571.0
Indiana University-Northwest,IN,13371.0,12478,43361.0,2582.0
Indiana University-Southeast,IN,15313.0,11650,47596.0,3088.0
Indiana University-East,IN,16756.0,12000,47156.0,2446.0
International Business College-Indianapolis,IN,22651.0,11059,38146.0,145.0
Manchester University,IN,48321.0,12250,51504.0,895.0
Marian University,IN,52691.0,20000,58759.0,2336.0
Indiana Wesleyan University-Marion,IN,42951.0,14335,59986.0,1927.0
Martin University,IN,25074.0,24332,22544.0,164.0
Mid-America College of Funeral Service,IN,30379.0,11625,44505.0,337.0
University of Notre Dame,IN,80211.0,19000,99980.0,8923.0
Oakland City University,IN,39307.0,12174,43283.0,470.0
Rose-Hulman Institute of Technology,IN,74226.0,21751,101253.0,2224.0
University of Saint Francis-Fort Wayne,IN,45228.0,18750,55362.0,1599.0
Saint Mary-of-the-Woods College,IN,47143.0,13600,43845.0,896.0
Saint Mary's College,IN,65706.0,23199,59354.0,1399.0
Saint Elizabeth School of Nursing,IN,34606.0,19500,65230.0,131.0
Taylor University,IN,51879.0,15500,52198.0,1890.0
Trine University,IN,50004.0,18500,57165.0,2344.0
Valparaiso University,IN,57393.0,22133,63191.0,2229.0
Vincennes University,IN,19446.0,9227,41110.0,3739.0
Wabash College,IN,62750.0,24855,69952.0,845.0
Briar Cliff University,IA,49693.0,15506,54475.0,626.0
Buena Vista University,IA,52490.0,17500,49156.0,1378.0
Central College,IA,35177.0,20815,54317.0,1062.0
Clarke University,IA,52899.0,19500,55396.0,782.0
Coe College,IA,64682.0,20496,57125.0,1246.0
Cornell College,IA,64336.0,21500,53460.0,1074.0
Des Moines Area Community College,IA,15664.0,6500,41018.0,10406.0
Dordt University,IA,49722.0,17500,52559.0,1547.0
Drake University,IA,62407.0,19500,71901.0,2669.0
University of Dubuque,IA,51060.0,17070,51190.0,1473.0
Ellsworth Community College,IA,17157.0,6158,40562.0,540.0
Emmaus Bible College,IA,30198.0,9350,42631.0,183.0
Eastern Iowa Community College District,IA,14499.0,7970,39060.0,3244.0
Faith Baptist Bible College and Theological Seminary,IA,30354.0,8750,40650.0,371.0
Graceland University-Lamoni,IA,46850.0,14209,47361.0,901.0
Grand View University,IA,46188.0,15097,52824.0,1472.0
Grinnell College,IA,79228.0,14151,62830.0,1705.0
Orion Technical College,IA,26127.0,9500,37008.0,73.0
Hawkeye Community College,IA,15065.0,8750,42849.0,2528.0
Indian Hills Community College,IA,14774.0,7125,40507.0,1635.0
Iowa Central Community College,IA,15405.0,8000,42046.0,3107.0
Iowa Lakes Community College,IA,17834.0,7242,43108.0,995.0
Iowa State University,IA,23309.0,18750,63386.0,25033.0
Iowa Western Community College,IA,18102.0,8098,42793.0,3029.0
University of Iowa,IA,26883.0,18207,64762.0,21691.0
Kirkwood Community College,IA,14797.0,7591,41016.0,7438.0
Loras College,IA,48380.0,19500,58289.0,1087.0
Luther College,IA,62845.0,22200,59850.0,1454.0
Maharishi International University,IA,28730.0,11558,27981.0,774.0
Marshalltown Community College,IA,13993.0,5500,41010.0,868.0
Mercy College of Health Sciences,IA,30844.0,12500,62234.0,905.0
Morningside University,IA,50429.0,15750,55494.0,1166.0
Mount Mercy University,IA,52436.0,18500,60787.0,1135.0
Ashford University,CA,30866.0,9500,35404.0,23734.0
North Iowa Area Community College,IA,15161.0,6000,43462.0,1271.0
University of Northern Iowa,IA,21627.0,16486,55177.0,7599.0
Northwestern College,IA,48447.0,16791,49802.0,1125.0
Northeast Iowa Community College,IA,16720.0,8284,41306.0,1736.0
Northwest Iowa Community College,IA,17914.0,7000,50776.0,856.0
Saint Ambrose University,IA,50018.0,19500,59531.0,2101.0
St Luke's College,IA,27391.0,13000,61033.0,192.0
Simpson College,IA,58937.0,20262,59274.0,1130.0
Southeastern Community College,IA,16582.0,7398,36882.0,1529.0
Southwestern Community College,IA,16399.0,7418,40129.0,774.0
Upper Iowa University,IA,48422.0,18000,52766.0,2021.0
Waldorf University,IA,38035.0,12025,51165.0,2103.0
Wartburg College,IA,61832.0,19500,56201.0,1446.0
Western Iowa Tech Community College,IA,14300.0,7000,40473.0,2589.0
William Penn University,IA,40749.0,12000,48936.0,1391.0
Allen County Community College,KS,13072.0,5021,40059.0,761.0
Baker University,KS,48117.0,18530,63855.0,1080.0
Barton County Community College,KS,17048.0,6250,40428.0,2273.0
Benedictine College,KS,50820.0,18570,53175.0,2236.0
Bethany College,KS,52396.0,9500,49694.0,583.0
Bethel College-North Newton,KS,47672.0,12000,49898.0,499.0
Butler Community College,KS,20278.0,6680,41206.0,5694.0
Central Christian College of Kansas,KS,32495.0,15750,44468.0,394.0
Cloud County Community College,KS,16432.0,6326,39883.0,807.0
Coffeyville Community College,KS,11727.0,5500,35246.0,870.0
Colby Community College,KS,12705.0,6206,41889.0,837.0
Cowley County Community College,KS,12773.0,5250,37723.0,1548.0
Dodge City Community College,KS,10039.0,5451,45427.0,1200.0
Donnelly College,KS,22227.0,8747,35715.0,343.0
Emporia State University,KS,20527.0,14000,47601.0,2328.0
Flint Hills Technical College,KS,21137.0,6365,47007.0,341.0
Fort Hays State University,KS,19114.0,14250,48928.0,9792.0
Barclay College,KS,40190.0,24320,36355.0,161.0
Friends University,KS,44401.0,17413,52113.0,1015.0
Fort Scott Community College,KS,10838.0,5500,37213.0,763.0
Garden City Community College,KS,14588.0,5200,41704.0,1321.0
Haskell Indian Nations University,KS,10134.0,PS,37043.0,878.0
Hesston College,KS,44939.0,12000,47495.0,308.0
Highland Community College,KS,15854.0,5500,41291.0,1262.0
Hutchinson Community College,KS,12881.0,6500,43470.0,2911.0
Independence Community College,KS,12041.0,4750,34941.0,518.0
Johnson County Community College,KS,18946.0,4500,45387.0,10634.0
Kansas City Kansas Community College,KS,18095.0,5750,40795.0,3071.0
University of Kansas,KS,25215.0,15500,61945.0,19857.0
Newman University,KS,44081.0,15240,55041.0,857.0
Kansas State University,KS,25441.0,17294,57262.0,14835.0
Kansas Wesleyan University,KS,45683.0,15000,51152.0,894.0
Washburn Institute of Technology,KS,17795.0,12500,49774.0,490.0
Labette Community College,KS,13629.0,6500,37818.0,766.0
Manhattan Area Technical College,KS,18055.0,7601,51864.0,328.0
Manhattan Christian College,KS,34318.0,13000,48860.0,132.0
McPherson College,KS,48404.0,13833,52084.0,786.0
MidAmerica Nazarene University,KS,53495.0,12912,62972.0,977.0
Neosho County Community College,KS,16555.0,5500,45966.0,848.0
North Central Kansas Technical College,KS,22287.0,6850,46928.0,472.0
Ottawa University-Ottawa,KS,51340.0,12500,55552.0,935.0
Pittsburg State University,KS,22426.0,14000,50579.0,4162.0
Pratt Community College,KS,15333.0,5500,51892.0,600.0
University of Saint Mary,KS,45313.0,14817,59483.0,889.0
Salina Area Technical College,KS,12938.0,5500,42175.0,352.0
Seward County Community College,KS,12662.0,5000,41445.0,1140.0
Southwestern College,KS,53677.0,12500,55646.0,1026.0
Sterling College,KS,44836.0,12000,45846.0,569.0
Tabor College,KS,48360.0,14000,54058.0,530.0
Washburn University,KS,20949.0,12500,49774.0,4093.0
Wichita State University-Campus of Applied Sciences and Technology,KS,16928.0,6650,38679.0,2778.0
Wichita State University,KS,21064.0,14700,51532.0,10493.0
Alice Lloyd College,KY,30294.0,7990,40573.0,528.0
Asbury University,KY,46209.0,17500,42368.0,1369.0
Ashland Community and Technical College,KY,13571.0,8000,34504.0,1566.0
Bellarmine University,KY,60247.0,20000,62069.0,2286.0
Berea College,KY,56068.0,3516,43150.0,1472.0
Southcentral Kentucky Community and Technical College,KY,13738.0,7600,34242.0,2952.0
Brescia University,KY,41865.0,20185,45500.0,538.0
Campbellsville University,KY,40924.0,9500,41583.0,2641.0
Bluegrass Community and Technical College,KY,13281.0,6755,36343.0,7713.0
Centre College,KY,63354.0,25125,66240.0,1346.0
Clear Creek Baptist Bible College,KY,20151.0,PS,41623.0,132.0
University of the Cumberlands,KY,24654.0,8592,45036.0,5468.0
Eastern Kentucky University,KY,22265.0,14929,45795.0,11674.0
Elizabethtown Community and Technical College,KY,13502.0,5975,36143.0,3775.0
Georgetown College,KY,56297.0,13000,52074.0,1180.0
Hazard Community and Technical College,KY,12187.0,7000,29868.0,1404.0
Henderson Community College,KY,13433.0,7457,35714.0,876.0
Hopkinsville Community College,KY,12810.0,6999,36323.0,1498.0
Jefferson Community and Technical College,KY,13488.0,6989,38171.0,7105.0
American National University-Pikeville,KY,21504.0,10814,28188.0,229.0
Kentucky Mountain Bible College,KY,16490.0,5500,21256.0,72.0
Kentucky State University,KY,21023.0,12250,36382.0,1317.0
Kentucky Wesleyan College,KY,43981.0,11000,46747.0,794.0
University of Kentucky,KY,32291.0,16750,59025.0,23189.0
Kentucky Christian University,KY,38893.0,8510,42375.0,438.0
Lindsey Wilson College,KY,39568.0,11514,41129.0,1649.0
University of Louisville,KY,30843.0,13750,53899.0,14187.0
Madisonville Community College,KY,13413.0,5853,35733.0,1797.0
Maysville Community and Technical College,KY,13015.0,8047,32194.0,2207.0
Midway University,KY,41400.0,12470,44246.0,1250.0
Morehead State University,KY,22758.0,14705,43197.0,4689.0
Murray State University,KY,21475.0,15000,44737.0,6646.0
Gateway Community and Technical College,KY,13849.0,8000,36147.0,2824.0
Northern Kentucky University,KY,19471.0,15159,50220.0,8065.0
West Kentucky Community and Technical College,KY,13457.0,6158,34891.0,2810.0
University of Pikeville,KY,33271.0,12467,48231.0,1140.0
Big Sandy Community and Technical College,KY,13046.0,6911,32954.0,1590.0
Somerset Community College,KY,12464.0,8000,30787.0,3899.0
Southeast Kentucky Community & Technical College,KY,12431.0,5500,29482.0,1680.0
Spalding University,KY,43474.0,20500,49438.0,597.0
Sullivan University,KY,31100.0,10688,38008.0,2498.0
Thomas More University,KY,46342.0,14376,59384.0,1305.0
Transylvania University,KY,58863.0,20000,54705.0,1014.0
Union College,KY,44375.0,14250,42002.0,736.0
Western Kentucky University,KY,23520.0,14702,43889.0,12267.0
Central Louisiana Technical Community College,LA,11966.0,7000,29558.0,1100.0
Bossier Parish Community College,LA,15872.0,9500,34502.0,5046.0
Centenary College of Louisiana,LA,57929.0,15250,50330.0,615.0
Delgado Community College,LA,19137.0,9500,33305.0,11182.0
Dillard University,LA,36057.0,23048,39196.0,1111.0
Nunez Community College,LA,17309.0,8250,35343.0,1495.0
Grambling State University,LA,25100.0,24500,41109.0,4144.0
ITI Technical College,LA,24236.0,12214,68342.0,513.0
Louisiana State University-Alexandria,LA,15540.0,10500,42205.0,4414.0
Louisiana State University and Agricultural & Mechanical College,LA,34328.0,12956,61251.0,29207.0
Louisiana State University-Eunice,LA,16541.0,6989,36498.0,2617.0
Louisiana State University-Shreveport,LA,19233.0,15000,47477.0,2150.0
Louisiana Christian University,LA,30564.0,11000,51700.0,750.0
Louisiana Tech University,LA,24405.0,15000,52279.0,7819.0
Loyola University New Orleans,LA,61837.0,18500,52927.0,2999.0
McNeese State University,LA,21168.0,13000,46453.0,4846.0
University of New Orleans,LA,22605.0,11000,47872.0,4479.0
Nicholls State University,LA,21519.0,13156,45454.0,4772.0
University of Louisiana at Monroe,LA,23552.0,15000,46769.0,4891.0
Northwest Louisiana Technical Community College,LA,17202.0,PS,32503.0,837.0
Northwestern State University of Louisiana,LA,24496.0,15000,47021.0,5840.0
University of Holy Cross,LA,28380.0,19500,49316.0,405.0
Franciscan Missionaries of Our Lady University,LA,27314.0,16669,59419.0,826.0
Saint Joseph Seminary College,LA,43395.0,PS,38366.0,91.0
Fletcher Technical Community College,LA,16674.0,7500,32189.0,1999.0
Remington College-Lafayette Campus,LA,35344.0,9500,31349.0,247.0
SOWELA Technical Community College,LA,16402.0,4250,32303.0,2979.0
Southeastern Louisiana University,LA,22647.0,11077,46482.0,9514.0
Southern University and A & M College,LA,26076.0,15455,43371.0,5323.0
Southern University at New Orleans,LA,20893.0,19500,34042.0,1095.0
Southern University at Shreveport,LA,18188.0,7500,33099.0,1974.0
University of Louisiana at Lafayette,LA,24631.0,14991,47089.0,12269.0
Northshore Technical Community College,LA,15772.0,7772,29734.0,2156.0
Tulane University of Louisiana,LA,83761.0,19250,63268.0,7759.0
Xavier University of Louisiana,LA,39183.0,14000,52184.0,2534.0
College of the Atlantic,ME,56334.0,17723,40264.0,358.0
Bates College,ME,80440.0,12442,69498.0,1753.0
Bowdoin College,ME,80390.0,12000,82735.0,1846.0
Maine College of Health Professions,ME,20438.0,12000,79840.0,228.0
Central Maine Community College,ME,15160.0,6568,42448.0,2828.0
Colby College,ME,81550.0,15000,80490.0,2282.0
Eastern Maine Community College,ME,17184.0,7833,41704.0,1692.0
Kennebec Valley Community College,ME,13978.0,9500,36035.0,1538.0
The Landing School,ME,31362.0,7500,65849.0,43.0
University of Maine at Augusta,ME,18813.0,13215,40342.0,2759.0
University of Maine at Farmington,ME,24103.0,16722,44433.0,1131.0
University of Maine at Fort Kent,ME,18532.0,12778,51077.0,638.0
University of Maine,ME,26418.0,16750,48653.0,8341.0
Maine Maritime Academy,ME,30166.0,26812,89964.0,888.0
University of Maine at Presque Isle,ME,18663.0,8275,40956.0,1362.0
University of New England,ME,60706.0,20000,55921.0,2189.0
Northern Maine Community College,ME,15581.0,8225,43348.0,577.0
Maine College of Art & Design,ME,57027.0,19000,40778.0,415.0
Saint Joseph's College of Maine,ME,58452.0,19576,59045.0,930.0
Southern Maine Community College,ME,16400.0,6046,41661.0,5279.0
University of Southern Maine,ME,21381.0,12887,49958.0,4245.0
Thomas College,ME,43757.0,20000,44991.0,688.0
Unity Environmental University,ME,20915.0,4752,37852.0,5619.0
Washington County Community College,ME,13240.0,5500,34407.0,397.0
Allegany College of Maryland,MD,16082.0,8250,38476.0,1743.0
Anne Arundel Community College,MD,20548.0,6250,46219.0,8570.0
Baltimore City Community College,MD,15745.0,PS,36025.0,3234.0
University of Baltimore,MD,27477.0,18972,61335.0,1276.0
Bowie State University,MD,24302.0,12861,54537.0,5207.0
Capitol Technology University,MD,40900.0,12000,85035.0,259.0
Cecil College,MD,15109.0,8250,43952.0,1369.0
College of Southern Maryland,MD,13570.0,5500,44435.0,4422.0
Chesapeake College,MD,10090.0,PS,36301.0,1275.0
Washington Adventist University,MD,34570.0,22750,64249.0,522.0
Coppin State University,MD,20152.0,15606,46490.0,1756.0
Frederick Community College,MD,8886.0,5500,46449.0,4116.0
Frostburg State University,MD,26500.0,14867,55493.0,2849.0
Garrett College,MD,11688.0,6560,35823.0,424.0
